,Numéro,Nom,Latitude,Longitude,Lambert II X, Lambert II Y,Altitude
0,22016001,ILE-DE-BREHAT,48°51'18N,3°00'12W,24419,2081,25
1,22092001,KERPERT,48°24'12N,3°08'48W,23925,1941,281
3,22135001,LOUARGAT,48°33'06N,3°22'36W,24101,1784,148
4,22147006,MERDRIGNAC,48°10'54N,2°24'36W,23644,2471,131
5,22168001,PLOUMANAC'H,48°49'30N,3°28'18W,24410,1735,55
6,22219003,PLOUGUENAST,48°15'54N,2°44'54W,23752,2226,235
7,22247002,POMMERIT-JAUDY,48°44'30N,3°15'00W,24306,1891,55
8,22261002,QUINTENIC,48°31'06N,2°25'12W,24018,2487,71
9,22266001,ROSTRENEN,48°13'48N,3°18'24W,23742,1809,262
10,22282001,SAINT-CAST-LE-G,48°38'36N,2°14'48W,24149,2622,35
11,22372001,ST BRIEUC,48°32'00N,2°51'06W,24055,2169,135
19,29158001,PTE DE PENMARCH,47°47'48N,4°22'24W,23324,977,3
20,29163003,PLEYBER-CHRIST SA,48°30'00N,3°51'12W,24070,1428,147
21,29168001,PTE DU RAZ,48°02'18N,4°43'54W,23614,735,67
25,29263002,ST-SEGAL S A,48°13'36N,4°05'48W,23783,1223,63
27,29276001,SIBIRIL S A,48°39'36N,4°04'36W,24261,1278,58
29,29278001,SPEZET,48°10'24N,3°43'42W,23701,1491,138
30,35228001,DINARD,48°35'18N,2°04'30W,24081,2745,58
31,44069002,GUERANDE,47°17'30N,2°25'48W,22657,2396,4
33,44184001,PTE DE CHEMOULIN,47°14'00N,2°17'54W,22586,2492,14
35,56007001,AURAY,47°39'30N,2°58'12W,23090,2016,26
36,56009001,BELLE ILE-LE TALUT,47°17'36N,3°13'06W,22698,1802,34
37,56017003,BIGNAN,47°53'00N,2°43'42W,23328,2213,112
38,56069001,ILE DE GROIX,47°39'06N,3°30'06W,23110,1617,41
40,56159001,PLEUCADEUC,47°45'54N,2°23'12W,23180,2460,65
41,56165003,PLOERMEL,47°57'00N,2°23'48W,23386,2465,65
43,56178003,PONTIVY,48°03'48N,2°56'42W,23537,2065,83
44,56185001,LORIENT-LANN BIHOUE,47°45'42N,3°26'06W,23229,1676,45
45,56240003,SARZEAU SA,47°30'42N,2°47'48W,22917,2135,37
46,56243001,VANNES-SENE,47°36'12N,2°42'48W,23016,2204,3
47,56251001,THEIX,47°38'24N,2°37'12W,23053,2276,29
48,85163001,NOIRMOUTIER EN,47°00'12N,2°15'24W,22330,2508,3
